time	V(N016,V_S_low2)	V(N018,V_S_low3)	V(N022,low)	V(V_G_low1,V_S_low1)	V(V_G_low2,V_S_low2)	V(V_G_low3,V_S_low3)	V(phase,V_S_low1)	I(L2)	I(L_cm1[L])	I(L_cm2[L])	I(L_cm3[L])	I(L_ph)	I(R_g1)	I(R_g2)	I(R_g3)
0.000000000000000e+00	4.806976e+01	4.806975e+01	0.000000e+00	2.610504e-04	2.622339e-04	2.628196e-04	4.806977e+01	6.534919e-04	1.633934e-04	1.632700e-04	1.631901e-04	5.514437e-03	-5.122493e-05	-5.124748e-05	-5.124457e-05
9.999999999886402e-10	4.806984e+01	4.806983e+01	0.000000e+00	2.610090e-04	2.621672e-04	2.627750e-04	4.806985e+01	6.534850e-04	1.634185e-04	1.632308e-04	1.631347e-04	5.512293e-03	-5.121690e-05	-5.124503e-05	-5.124259e-05
2.999999999993026e-09	4.806999e+01	4.806998e+01	0.000000e+00	2.608464e-04	2.619267e-04	2.623868e-04	4.807000e+01	6.533434e-04	1.633614e-04	1.631419e-04	1.630422e-04	5.508001e-03	-5.119124e-05	-5.125473e-05	-5.128310e-05
7.000000000001796e-09	4.807030e+01	4.807029e+01	0.000000e+00	2.605171e-04	2.619980e-04	2.627221e-04	4.807031e+01	6.521117e-04	1.628982e-04	1.629161e-04	1.628229e-04	5.499393e-03	-5.112514e-05	-5.115250e-05	-5.115186e-05
1.103991088539816e-08	4.807061e+01	4.807060e+01	0.000000e+00	2.603393e-04	2.616862e-04	2.623167e-04	4.807062e+01	6.510440e-04	1.625704e-04	1.626202e-04	1.625641e-04	5.490663e-03	-5.107625e-05	-5.105662e-05	-5.104816e-05
1.911973265616377e-08	4.807124e+01	4.807122e+01	0.000000e+00	2.598384e-04	2.612026e-04	2.618484e-04	4.807125e+01	6.489733e-04	1.619901e-04	1.620437e-04	1.620683e-04	5.473102e-03	-5.098030e-05	-5.093079e-05	-5.091764e-05
2.911973265615859e-08	4.807200e+01	4.807199e+01	0.000000e+00	2.592231e-04	2.604798e-04	2.610905e-04	4.807201e+01	6.471777e-04	1.615230e-04	1.614722e-04	1.614744e-04	5.451175e-03	-5.086645e-05	-5.085908e-05	-5.085314e-05
3.911973265615341e-08	4.807277e+01	4.807275e+01	0.000000e+00	2.585436e-04	2.600246e-04	2.607405e-04	4.807277e+01	6.444518e-04	1.607699e-04	1.608542e-04	1.608157e-04	5.429038e-03	-5.073347e-05	-5.068446e-05	-5.064444e-05
4.911973265614824e-08	4.807352e+01	4.807351e+01	0.000000e+00	2.579405e-04	2.592173e-04	2.598298e-04	4.807353e+01	6.427274e-04	1.603138e-04	1.602544e-04	1.602293e-04	5.406691e-03	-5.061512e-05	-5.061034e-05	-5.060719e-05
5.911973265614306e-08	4.807428e+01	4.807426e+01	0.000000e+00	2.572416e-04	2.587770e-04	2.595213e-04	4.807429e+01	6.398516e-04	1.595006e-04	1.595916e-04	1.595608e-04	5.384134e-03	-5.047780e-05	-5.042564e-05	-5.038729e-05
6.911973265613788e-08	4.807503e+01	4.807502e+01	0.000000e+00	2.565952e-04	2.580889e-04	2.587932e-04	4.807504e+01	6.372626e-04	1.588139e-04	1.588763e-04	1.589147e-04	5.361369e-03	-5.034992e-05	-5.029055e-05	-5.026631e-05
7.911973265613270e-08	4.807578e+01	4.807576e+01	0.000000e+00	2.559557e-04	2.573460e-04	2.580442e-04	4.807579e+01	6.354101e-04	1.583802e-04	1.582853e-04	1.582715e-04	5.338397e-03	-5.022829e-05	-5.021483e-05	-5.019740e-05
8.911973265612752e-08	4.807653e+01	4.807651e+01	0.000000e+00	2.552549e-04	2.567237e-04	2.574402e-04	4.807653e+01	6.330546e-04	1.576875e-04	1.576764e-04	1.576145e-04	5.315220e-03	-5.009117e-05	-5.008591e-05	-5.006737e-05
9.911973265612235e-08	4.807727e+01	4.807725e+01	0.000000e+00	2.545843e-04	2.560680e-04	2.567812e-04	4.807728e+01	6.306001e-04	1.569756e-04	1.570057e-04	1.569642e-04	5.291836e-03	-4.995711e-05	-4.994050e-05	-4.992876e-05
1.091197326561172e-07	4.807801e+01	4.807799e+01	0.000000e+00	2.539056e-04	2.553998e-04	2.561152e-04	4.807801e+01	6.281754e-04	1.563111e-04	1.563102e-04	1.563227e-04	5.268248e-03	-4.982489e-05	-4.980015e-05	-4.979386e-05
